group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOV,;8,;0x5190,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x5186,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x514a,;Not found;0;Success;8;8;0;8;0;1;
9;SSSSSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x5041,0x5044,0x5050,0x5054,0x5060,0x5064,0x5070,0x5074,0x507b,;Not found;0;Success;68;68;0;68;0;9;
1;L;MOV,;48,;0x510e,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x4e5d,;Not found;0;Success;8;8;0;8;0;1;
9;SSSSSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4ea5,0x4ea8,0x4eb4,0x4eb8,0x4ec4,0x4ec8,0x4ed4,0x4ed8,0x4edf,;Not found;0;Success;68;68;0;68;0;9;
1;L;MOV,;0,;0x4e53,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x4e17,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x4c90,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x50d9,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x50c9,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x509a,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x4f03,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x4ef3,;Not found;0;Success;8;8;0;8;0;1;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4e9e,0x4ea1,0x4eac,0x4eb0,0x4ebc,0x4ec0,0x4ecc,0x4ed0,0x4edc,;Not found;0;Success;68;68;0;68;0;9;
1;L;MOV,;8,;0x4cde,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4cd4,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x4c0f,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x4fc3,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x4ff9,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4fef,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x4ddb,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x4e27,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x4cc6,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x4deb,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x4c54,;Not found;0;Success;8;8;0;8;0;1;
63;LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLSL;CMP,CMP,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,ADD,MOV,;-20,-20,-20,-24,-20,-216,-20,-216,-216,-216,-216,-216,-216,-216,-20,-208,-20,-200,-208,-200,-208,-200,-208,-200,-208,-208,-216,-216,-20,-224,-200,-200,-216,-216,-20,-224,-224,-224,-224,-224,-224,-224,-20,-200,-20,-208,-200,-208,-200,-208,-200,-208,-200,-200,-224,-224,-208,-208,-224,-224,-20,-20,-20,;0x4b70,0x4b81,0x4ba8,0x4bab,0x4ee7,0x4eec,0x4bb4,0x4bb9,0x4efc,0x4bc9,0x4f2b,0x4bf8,0x4f3b,0x4c08,0x4f6a,0x4f70,0x4c37,0x4c3d,0x4f80,0x4c4d,0x4fac,0x4c79,0x4fbc,0x4c89,0x4fe8,0x4ff2,0x5000,0x500a,0x507e,0x5083,0x4cb5,0x4cbf,0x4ccd,0x4cd7,0x4d4b,0x4d50,0x5093,0x4d60,0x50c2,0x4d8f,0x50d2,0x4d9f,0x5101,0x5107,0x4dce,0x4dd4,0x5117,0x4de4,0x5143,0x4e10,0x5153,0x4e20,0x517f,0x5189,0x5197,0x51a1,0x4e4c,0x4e56,0x4e64,0x4e6e,0x5215,0x5238,0x523c,;Success;0;Success;444;40;404;208;0;1;
1;L;MOV,;48,;0x508a,;Not found;0;Success;8;8;0;8;0;1;
