group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;S;MOV,;0,;0x4993,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4976,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x496c,;Not found;0;Success;8;8;0;8;0;1;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4811,0x4814,0x4820,0x4824,0x4830,0x4834,0x4840,0x4844,0x4850,;Not found;0;Success;72;72;0;72;0;9;
1;S;MOV,;0,;0x47cc,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x47af,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x47a5,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x4713,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x4708,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x46f5,;Not found;0;Success;8;8;0;8;0;1;
9;SSSSSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x46a6,0x46a9,0x46b5,0x46b9,0x46c5,0x46c9,0x46d5,0x46d9,0x46e1,;Not found;0;Success;72;72;0;72;0;9;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x464a,0x464d,0x4659,0x465d,0x4669,0x466d,0x4679,0x467d,0x4689,;Not found;0;Success;72;72;0;72;0;9;
53;LLLLLSSSSSSSSSLLLLLLLLLLLSLLLSSSSSSSSSLLLLLLLLLLLSLSL;CMP,CMP,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,ADD,MOV,;-36,-36,-232,-216,-232,-128,-120,-112,-104,-96,-88,-80,-72,-64,-232,-216,-216,-232,-216,-216,-232,-216,-232,-128,-128,-128,-240,-224,-240,-128,-120,-112,-104,-96,-88,-80,-72,-64,-240,-224,-224,-240,-224,-224,-240,-224,-240,-128,-128,-128,-36,-36,-36,;0x45f5,0x4607,0x462e,0x4635,0x4643,0x4651,0x4655,0x4661,0x4665,0x4671,0x4675,0x4681,0x4685,0x468d,0x4691,0x4698,0x46ee,0x47c5,0x4701,0x470c,0x4783,0x479e,0x47a8,0x47d8,0x47e1,0x47ed,0x47f5,0x47fc,0x480a,0x4818,0x481c,0x4828,0x482c,0x4838,0x483c,0x4848,0x484c,0x4854,0x4858,0x485f,0x48b5,0x498c,0x48c8,0x48d3,0x494a,0x4965,0x496f,0x499f,0x49a8,0x49b4,0x49bc,0x49e0,0x49e4,;Success;0;Success;404;108;296;208;0;1;
1;S;MOV,;0,;0x4951,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x48da,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x48cf,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x48bc,;Not found;0;Success;8;8;0;8;0;1;
9;SSSSSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x486d,0x4870,0x487c,0x4880,0x488c,0x4890,0x489c,0x48a0,0x48a8,;Not found;0;Success;72;72;0;72;0;9;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x469f,0x46a2,0x46ad,0x46b1,0x46bd,0x46c1,0x46cd,0x46d1,0x46dd,;Not found;0;Success;72;72;0;72;0;9;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4866,0x4869,0x4874,0x4878,0x4884,0x4888,0x4894,0x4898,0x48a4,;Not found;0;Success;72;72;0;72;0;9;
1;S;MOV,;0,;0x478a,;Not found;0;Success;8;8;0;8;0;1;
