group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOV,;56,;0xa2fb,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0xa2eb,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0xa2bc,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0xa2ac,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0xa198,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0xa18e,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0xa15f,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0xa14f,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0xa120,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x9f41,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x9f37,;Not found;0;Success;8;8;0;8;0;1;
1;S;MOV,;0,;0xa503,;Not found;0;Success;4;4;0;4;0;1;
1;L;MOV,;8,;0xa266,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0xa25c,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0xa22d,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0xa110,;Not found;0;Success;8;8;0;8;0;1;
68;LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLSL;CMP,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,CMP,ADD,MOV,;-52,-52,-52,-600,-600,-600,-600,-600,-600,-496,-504,-504,-496,-52,-112,-112,-120,-52,-600,-600,-600,-600,-600,-600,-52,-600,-600,-600,-600,-600,-600,-52,-600,-600,-600,-600,-600,-600,-52,-600,-600,-600,-600,-600,-600,-512,-520,-528,-536,-544,-552,-560,-568,-568,-560,-552,-544,-536,-528,-520,-512,-52,-80,-80,-88,-52,-52,-52,;0x9e74,0x9e86,0x9ead,0x9eb2,0x9ec2,0x9ef1,0x9f01,0x9f30,0x9f3a,0x9f7b,0x9f82,0x9fa9,0x9fb5,0x9fc9,0x9ff9,0x9fff,0xa02b,0xa036,0xa03b,0xa04b,0xa07a,0xa08a,0xa0b9,0xa0c3,0xa104,0xa109,0xa119,0xa148,0xa158,0xa187,0xa191,0xa1d2,0xa1d7,0xa1e7,0xa216,0xa226,0xa255,0xa25f,0xa2a0,0xa2a5,0xa2b5,0xa2e4,0xa2f4,0xa323,0xa32d,0xa36e,0xa375,0xa39c,0xa3a3,0xa3cc,0xa3d3,0xa3fc,0xa403,0xa42c,0xa438,0xa447,0xa453,0xa462,0xa46e,0xa47d,0xa489,0xa49d,0xa4cd,0xa4d3,0xa4ff,0xa50a,0xa52d,0xa531,;Success;0;Success;496;124;372;552;0;1;
1;L;MOV,;8,;0xa0ca,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0xa0c0,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9f08,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x9ef8,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9ec9,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x9eb9,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0xa334,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0xa32a,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0xa21d,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0xa1ee,;Not found;0;Success;8;8;0;8;0;1;
1;S;MOV,;0,;0xa02f,;Not found;0;Success;4;4;0;4;0;1;
1;L;MOV,;48,;0xa1de,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0xa091,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0xa081,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0xa052,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0xa042,;Not found;0;Success;8;8;0;8;0;1;
