group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOVSS,;0,;0x2ce7,;Not found;0;Success;4;4;0;4;0;1;
1;L;MOV,;0,;0x316f,;Not found;0;Success;8;8;0;8;0;1;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x3104,0x3107,0x3112,0x3116,0x3122,0x3126,0x3132,0x3136,0x3142,;Not found;0;Success;72;72;0;72;0;9;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x3578,0x357b,0x358d,0x3591,0x35a3,0x35a7,0x35b3,0x35b7,0x35c3,;Not found;0;Success;72;72;0;72;0;9;
9;SSSSSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x310b,0x310e,0x311a,0x311e,0x312a,0x312e,0x313a,0x313e,0x3146,;Success;0;Success;72;72;0;72;0;9;
1;L;MOV,;0,;0x3920,;Not found;0;Success;4;4;0;4;0;1;
1;S;MOV,;0,;0x37e9,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x37b0,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x31be,;Not found;0;Success;8;8;0;8;0;1;
75;LLLLLLLLLLLLLLLSSSSSSSSSSLLLLLLLLLLLLSLLLLLLLLLLSSSSSSSSSSLLLLLLLLSLLLLLLSL;MOV,MOV,MOV,MOVSS,MOV,MOV,CMP,CMP,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,CMP,ADD,MOV,;-256,-264,-272,-88,-80,-80,-72,-72,-72,-72,-52,-84,-72,-72,-248,-288,-160,-152,-144,-136,-128,-120,-112,-104,-96,-248,-52,-248,-248,-248,-52,-248,-288,-248,-248,-160,-160,-160,-52,-80,-72,-72,-248,-84,-72,-72,-52,-248,-288,-160,-152,-144,-136,-128,-120,-112,-104,-96,-248,-248,-248,-248,-248,-288,-160,-160,-160,-52,-84,-72,-72,-248,-52,-52,-52,;0x2cca,0x2cd1,0x2ce0,0x2ceb,0x2f2b,0x2cf9,0x2f5c,0x2d29,0x2f62,0x2d2f,0x2f8a,0x2d57,0x2d85,0x2d8b,0x3033,0x3047,0x3078,0x307f,0x308e,0x3095,0x30a4,0x30a8,0x30b4,0x30b8,0x30c0,0x30ec,0x2db0,0x3157,0x317f,0x31a2,0x2e24,0x326b,0x32e9,0x2ef1,0x2f0e,0x32f2,0x32fe,0x330d,0x3318,0x3386,0x33b6,0x33bc,0x33fa,0x342f,0x3460,0x3466,0x348e,0x353a,0x354e,0x357f,0x3586,0x3595,0x359c,0x35ab,0x35af,0x35bb,0x35bf,0x35c7,0x35f3,0x365e,0x3686,0x36a9,0x3772,0x37f0,0x37f9,0x3805,0x3814,0x381f,0x3890,0x38c0,0x38c6,0x3904,0x3939,0x395d,0x3961,;Success;0;Success;520;132;388;240;0;1;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x3071,0x3074,0x3086,0x308a,0x309c,0x30a0,0x30ac,0x30b0,0x30bc,;Not found;0;Success;72;72;0;72;0;9;
1;S;MOV,;0,;0x342d,;Not found;0;Success;4;4;0;4;0;1;
1;L;MOV,;0,;0x3416,;Not found;0;Success;4;4;0;4;0;1;
1;S;MOV,;0,;0x32e2,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x378a,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x36c5,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x36a2,;Not found;0;Success;8;8;0;8;0;1;
56;LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;78265,78253,78218,78206,78107,78108,78027,78028,77905,77906,78739,78727,77402,77403,78692,78680,78620,77545,77546,77459,77460,78608,78573,78561,78462,78463,78428,78429,77355,77343,77311,77299,77105,77106,76978,76966,76931,76919,76820,76821,76740,76741,76618,76619,76115,76116,76258,76259,76172,76173,76065,76053,76021,76009,75815,75816,;0x2f90,0x2f9c,0x2fc7,0x2fd3,0x2ffe,0x3005,0x304e,0x3055,0x30c8,0x30cf,0x2db6,0x2dc2,0x32bf,0x32c6,0x2ded,0x2df9,0x2e2d,0x3230,0x3237,0x3286,0x328d,0x2e39,0x2e64,0x2e70,0x2e9b,0x2ea2,0x2ebd,0x2ec4,0x331e,0x332a,0x3352,0x335e,0x33e8,0x33ef,0x3497,0x34a3,0x34ce,0x34da,0x3505,0x350c,0x3555,0x355c,0x35cf,0x35d6,0x37c6,0x37cd,0x3737,0x373e,0x378d,0x3794,0x3828,0x3834,0x385c,0x3868,0x38f2,0x38f9,;RIP based value;0;Success;448;336;112;2932;0;1;
1;S;MOV,;0,;0x3253,;Not found;0;Success;8;8;0;8;0;1;
9;SSSSSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x3612,0x3615,0x3621,0x3625,0x3631,0x3635,0x3641,0x3645,0x364d,;Success;0;Success;72;72;0;72;0;9;
1;L;MOV,;0,;0x319b,;Not found;0;Success;8;8;0;8;0;1;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x360b,0x360e,0x3619,0x361d,0x3629,0x362d,0x3639,0x363d,0x3649,;Not found;0;Success;72;72;0;72;0;9;
