group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4c77,0x4c7a,0x4c85,0x4c89,0x4c95,0x4c99,0x4ca5,0x4ca9,0x4cb5,;Not found;0;Success;72;72;0;72;0;9;
1;S;MOV,;0,;0x4b9b,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x4ceb,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x4ce0,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4ccd,;Not found;0;Success;8;8;0;8;0;1;
9;SSSSSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4c7e,0x4c81,0x4c8d,0x4c91,0x4c9d,0x4ca1,0x4cad,0x4cb1,0x4cb9,;Not found;0;Success;72;72;0;72;0;9;
53;LLLLLSSSSSSSSSLLLLLLLLLLLSLLLSSSSSSSSSLLLLLLLLLLLSLSL;CMP,CMP,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,ADD,MOV,;-36,-36,-232,-224,-232,-128,-120,-112,-104,-96,-88,-80,-72,-64,-232,-224,-224,-232,-224,-224,-232,-224,-232,-128,-128,-128,-240,-216,-240,-128,-120,-112,-104,-96,-88,-80,-72,-64,-240,-216,-216,-240,-216,-216,-240,-216,-240,-128,-128,-128,-36,-36,-36,;0x4a06,0x4a18,0x4a3f,0x4a46,0x4a54,0x4a62,0x4a66,0x4a72,0x4a76,0x4a82,0x4a86,0x4a92,0x4a96,0x4a9e,0x4aa2,0x4aa9,0x4aff,0x4bd6,0x4b12,0x4b1d,0x4b94,0x4baf,0x4bb9,0x4be9,0x4bf2,0x4bfe,0x4c06,0x4c0d,0x4c1b,0x4c29,0x4c2d,0x4c39,0x4c3d,0x4c49,0x4c4d,0x4c59,0x4c5d,0x4c65,0x4c69,0x4c70,0x4cc6,0x4d9d,0x4cd9,0x4ce4,0x4d5b,0x4d76,0x4d80,0x4db0,0x4db9,0x4dc5,0x4dcd,0x4df1,0x4df5,;Success;0;Success;404;108;296;208;0;1;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4ab0,0x4ab3,0x4abe,0x4ac2,0x4ace,0x4ad2,0x4ade,0x4ae2,0x4aee,;Not found;0;Success;72;72;0;72;0;9;
1;S;MOV,;0,;0x4da4,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4d87,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4d7d,;Not found;0;Success;8;8;0;8;0;1;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4c22,0x4c25,0x4c31,0x4c35,0x4c41,0x4c45,0x4c51,0x4c55,0x4c61,;Not found;0;Success;72;72;0;72;0;9;
1;S;MOV,;0,;0x4bdd,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4bc0,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4bb6,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x4b24,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;56,;0x4b19,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4b06,;Not found;0;Success;8;8;0;8;0;1;
9;SSSSSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4ab7,0x4aba,0x4ac6,0x4aca,0x4ad6,0x4ada,0x4ae6,0x4aea,0x4af2,;Not found;0;Success;72;72;0;72;0;9;
9;LLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,64,;0x4a5b,0x4a5e,0x4a6a,0x4a6e,0x4a7a,0x4a7e,0x4a8a,0x4a8e,0x4a9a,;Not found;0;Success;72;72;0;72;0;9;
1;S;MOV,;0,;0x4d62,;Not found;0;Success;8;8;0;8;0;1;
