loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
46;genetic_algorithm;__read_mol2_MOD_detect_hydrogen_bonds_between._omp_fn.0;30;complete_mol2_omp_mod.f90:367-375,complete_mol2_omp_mod.f90:378-385;InBetween;21.676500320435;10.929298400879;10.725001335144;10.912501335144;11.065000534058;0.32013228535652;0.1530519425869;21.656637191772;10.919282913208;10.720001220703;10.902501106262;11.05500125885;0.31771466135979;0.15168511867523;4;;
44;genetic_algorithm;__read_mol2_MOD_detect_hydrogen_bonds_between._omp_fn.0;30;complete_mol2_omp_mod.f90:358-363,complete_mol2_omp_mod.f90:366-368,complete_mol2_omp_mod.f90:386-387;InBetween;23.92608833313;12.063541412354;11.795000076294;12.045001029968;12.175001144409;0.35703584551811;0.17228908836842;1.9143850803375;0.96523362398148;0.89000016450882;0.96375012397766;1.03500020504;0.12258069217205;0.062633223831654;4;;
26;genetic_algorithm;detect_hydrogen_bonds_between;25;complete_mol2_omp_mod.f90:340-343;Single;0.94601941108704;0.47698327898979;1.9050008058548;1.9050008058548;1.9050008058548;0;0;0.94601941108704;0.47698327898979;1.9050008058548;1.9050008058548;1.9050008058548;0;0;1;;
45;genetic_algorithm;__read_mol2_MOD_detect_hydrogen_bonds_between._omp_fn.0;30;complete_mol2_omp_mod.f90:358-359;InBetween;24.656087875366;12.431607246399;12.1100025177;12.412501335144;12.610000610352;0.43768265843391;0.21542525291443;0.72999888658524;0.3680656850338;0.31500002741814;0.36750000715256;0.43499997258186;0.098726376891136;0.049916576594114;4;;
47;genetic_algorithm;__read_mol2_MOD_detect_hydrogen_bonds_between._omp_fn.0;30;complete_mol2_omp_mod.f90:367-368;InBetween;22.011703491211;11.098307609558;10.90500164032;11.081251144409;11.200001716614;0.30156251788139;0.13912668824196;0.33520355820656;0.169009745121;0.11999999731779;0.16875000298023;0.19499999284744;0.066525235772133;0.033260338008404;4;;
30;genetic_algorithm;detect_hydrogen_bonds_between;25;complete_mol2_omp_mod.f90:330-330;Single;0.054625768214464;0.027542332187295;0.10999999195337;0.10999999195337;0.10999999195337;0;0;0.054625768214464;0.027542332187295;0.10999999195337;0.10999999195337;0.10999999195337;0;0;1;;
42;genetic_algorithm;__read_mol2_MOD_detect_hydrogen_bonds_between._omp_fn.0;30;complete_mol2_omp_mod.f90:351-354,complete_mol2_omp_mod.f90:358-359;InBetween;24.693332672119;12.450386047363;12.130000114441;12.431251525879;12.630001068115;0.43189290165901;0.21371284127235;0.037244841456413;0.018778860569;0.00499999942258;0.018750000745058;0.030000001192093;0.020427711308002;0.01030776463449;4;;
27;genetic_algorithm;detect_hydrogen_bonds_between;25;complete_mol2_omp_mod.f90:334-337;Single;0.0322788618505;0.016275011003017;0.064999997615814;0.064999997615814;0.064999997615814;0;0;0.0322788618505;0.016275011003017;0.064999997615814;0.064999997615814;0.064999997615814;0;0;1;;
28;genetic_algorithm;detect_hydrogen_bonds_between;25;complete_mol2_omp_mod.f90:332-332;Single;0.019863916561007;0.010015393607318;0.03999999538064;0.03999999538064;0.03999999538064;0;0;0.019863916561007;0.010015393607318;0.03999999538064;0.03999999538064;0.03999999538064;0;0;1;;
4;genetic_algorithm;crossover;11;genetic_algorithm.f90:340-346;Single;0.014897936955094;0.0075115445069969;0.029999999329448;0.029999999329448;0.029999999329448;0;0;0.014897936955094;0.0075115445069969;0.029999999329448;0.029999999329448;0.029999999329448;0;0;1;;
49;genetic_algorithm;__read_mol2_MOD_detect_hydrogen_bonds_between._omp_fn.0;30;complete_mol2_omp_mod.f90:379-379;Innermost;0.01241494808346;0.006259620655328;0;0.006249999627471;0.0099999997764826;0.0095214284956455;0.0047871354036033;0.01241494808346;0.006259620655328;0.0049999998882413;0.008333332836628;0.0099999997764826;0.0057552638463676;0.0028867509681731;3;;
48;genetic_algorithm;__read_mol2_MOD_detect_hydrogen_bonds_between._omp_fn.0;30;complete_mol2_omp_mod.f90:378-378;Innermost;0.0074489684775472;0.0037557722534984;0;0.0037500001490116;0.0050000003539026;0.0049603171646595;0.0024999999441206;0.0074489684775472;0.0037557722534984;0.0049999998882413;0.0049999998882413;0.0050000003539026;5.2091731959081e-06;3.2927224835611e-10;3;;
19;genetic_algorithm;genetic_docking;17;genetic_algorithm.f90:117-119;Innermost;0.0074489684775472;0.0037557722534984;0.014999999664724;0.014999999664724;0.014999999664724;0;0;0.0074489684775472;0.0037557722534984;0.014999999664724;0.014999999664724;0.014999999664724;0;0;1;;
31;genetic_algorithm;detect_hydrogen_bonds_between;25;complete_mol2_omp_mod.f90:329-329;Single;0.0049659791402519;0.0025038484018296;0.00999999884516;0.00999999884516;0.00999999884516;0;0;0.0049659791402519;0.0025038484018296;0.00999999884516;0.00999999884516;0.00999999884516;0;0;1;;
7;genetic_algorithm;select_parents;12;genetic_algorithm.f90:291-293;Single;0.0049659791402519;0.0025038484018296;0.00999999884516;0.00999999884516;0.00999999884516;0;0;0.0049659791402519;0.0025038484018296;0.00999999884516;0.00999999884516;0.00999999884516;0;0;1;;
