function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
269;libgomp.so.1.0.0;omp_get_num_procs;;33.51961517334;0.59999996423721;0;0;0;0;0;33.51961517334;0.59999996423721;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";omp_get_num_procs;;
29;genetic_algorithm;__read_mol2_MOD_detect_hydrogen_bonds_between._omp_fn.0;complete_mol2_omp_mod.f90:350-389;29.050340652466;0.5200001001358;0;0;0;0;0;0.83799338340759;0.015000052750111;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";__read_mol2_MOD_detect_hydrogen_bonds_between._omp_fn.0;;
1578;libc.so.6;_mcleanup;;25.698373794556;0.46000000834465;0;0;0;0;0;25.698373794556;0.46000000834465;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";_mcleanup;;
20;genetic_algorithm;is_bonded;complete_mol2_omp_mod.f90:6-14;5.8659329414368;0.10500000417233;0;0;0;0;0;5.8659329414368;0.10500000417233;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";__bond_utils_MOD_is_bonded;;
253;libgomp.so.1.0.0;omp_fulfill_event;;2.5139706134796;0.044999990612268;0;0;0;0;0;2.5139706134796;0.044999990612268;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";omp_fulfill_event;;
1582;libc.so.6;_mcount;;1.9553107023239;0.034999992698431;0;0;0;0;0;1.9553107023239;0.034999992698431;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";_mcount;;
152;libgomp.so.1.0.0;GOMP_loop_dynamic_start;;0.55866020917892;0.00999999884516;0;0;0;0;0;0.55866020917892;0.00999999884516;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";GOMP_loop_dynamic_start;;
377;libm.so.6;__acosf_finite;;0.27933010458946;0.00499999942258;0;0;0;0;0;0.27933010458946;0.00499999942258;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__acosf_finite;;
182;libgomp.so.1.0.0;GOMP_loop_end;;0.27933010458946;0.00499999942258;0;0;0;0;0;0.27933010458946;0.00499999942258;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";GOMP_loop_end;;
165;libgomp.so.1.0.0;GOMP_loop_dynamic_next;;0.27933010458946;0.00499999942258;0;0;0;0;0;0.27933010458946;0.00499999942258;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";GOMP_loop_dynamic_next;;
